DriveStart,PlayNum,SideOfField,YardLine,PenaltyType,QBLoc,PlayType,PlaySide,OffPersonnel,MenInBox,QB,BallCarrier,YardsBeforeContact,BTK,CatchSnap,ReleaseThrow,TimeReceiveBall,TimeFirstTouch,YardsGained,Misc,ThrowResult,ThrowType,DepthofTarg,Receiver,PA?,RecAlignment,Route,YardsAfterCatch,TimeToThrow,TimeBeforeContact,Notes
,15,JCU,30,,Pistol,Run,M,11,7,5,34,-1,,,,3.85,4.69,0,Fumble,,,,,,,,No Catch,0,0.84,
,16,JCU,30,,Pistol,Pass Attempt,L,12,7,5,,,,19.91,21.08,,,3,,Catch,OnTarg,-1,14,No,Wide Left,Boundary Screen,4,1.17,0,
X-Second full 24 set,1,JCU,30,,Pistol,Pass Attempt,R,11,7,5,,,,5.07,8.97,,,4,,Catch,OnTarg,4,6,No,Wide Left,Drag,0,3.9,0,
,2,JCU,30,,Pistol,Pass Attempt,L,12,8,5,,,,7.12,8.35,,,10,,Catch,OnTarg,-1.5,14,PA,Wide Left,Boundary Screen,11.5,1.23,0,
,3,JCU,30,,Pistol,Pass Attempt,L,12,7,5,,,,9.34,11.47,,,0,,Incomplete,OverThrown,35,14,No,Wide Left,Go,No Catch,2.13,0,
,4,JCU,30,,Pistol,Sack,,11,6,5,,,,5.1,7.66,,,-5,,,,,,,,,No Catch,2.56,0,
X,13,JCU,30,,Pistol,Pass Attempt,M,11,7,5,,,,5.34,8.99,,,6,,Catch,OnTarg,2,34,No,Singleback,Checkdown,4,3.65,0,
,14,JCU,30,,Pistol,Pass Attempt,L,11,7,5,,,,24.58,26.65,,,15,,Catch,OnTarg,-2,34,No,RB Left,Swing ,17,2.07,0,
,15,JCU,30,,Pistol,Run,M,12,7,5,34,-4,,,,10.11,10.53,0,,,,,,,,,No Catch,0,0.42,
,16,JCU,30,,Pistol,Sack,,11,6,5,,,,10.05,13.77,,,-6,,,,,,PA,,,No Catch,3.72,0,
X-Third full 24 set,1,JCU,30,,Pistol,Pass Attempt,L,12,7,5,,,,6.82,8.18,,,4,,Catch,OnTarg,-1,14,PA,Wide Left,Boundary Screen,5,1.36,0,
,2,JCU,30,,Pistol,Run,L,12,6,5,34,-2,,,,6.67,8.52,-1,,,,,,,,,No Catch,0,1.85,
,3,JCU,30,,Pistol,Pass Attempt,L,11,6,5,,,,33.09,34.41,,,23,,Catch,OnTarg,14,14,PA,Wide Left,Go,9,1.32,0,Great Throw
,4,JCU,30,,Pistol,Pass Attempt,M,11,6,5,,,,14.74,17.33,,,0,,Incomplete,Errant,30,6,PA,Wide Left,Post,No Catch,2.59,0,
X,13,JCU,30,,Pistol,Run,L,12,6,5,34,2.5,,,,5.63,7.47,4,,,,,,,,,No Catch,0,1.84,
,14,JCU,30,,Pistol,Pass Attempt,L,12,8,5,,,,8.05,9.39,,,15,,Catch,OnTarg,-6,34,No,RB Left,Swing,21,1.34,0,
,15,JCU,30,,Pistol,Sack,,11,6,5,,,,5.25,8.4,,,-5,,,,,,PA,,,No Catch,3.15,0,
,16,JCU,30,,Pistol,Run,R,11,6,5,34,3.5,,,,8.4,11.04,5,,,,,,,,,No Catch,0,2.64,
X-Last 3 bottom of page,1,JCU,30,,Pistol,Run,L,12,6,5,34,-1.5,,,,9.15,10.83,-1,,,,,,,,,No Catch,0,1.68,
,2,JCU,30,,Pistol,Pass Attempt,R,12,7,5,,,,8.35,10.83,,,3,,Catch,OnTarg,3,84,PA,Wing Left,Drag,0,2.48,0,5 Needs to read high to low --> LB in middle of field is key. He misreads
,3,JCU,30,,Pistol,Pass Attempt,L,11,7,5,,,,5.19,7.51,,,4,Fumble,Catch,OnTarg,2,87,PA,Tight Left,Check n Release,2,2.32,0,
,4,JCU,30,,Pistol,Pass Attempt,M,10,6,5,,,,11.42,13.81,,,0,,Incomplete,Errant,0,34,No,RB Right,Screen,No Catch,2.39,0,
X,13,JCU,30,,Pistol,QB Scramble,,11,6,5,,,,,,,,5,,,,,,PA,,,No Catch,0,0,
,14,JCU,30,,Pistol,Pass Attempt,L,11,7,5,,,,9.91,11.64,,,-4,,Catch,Errant,-4,34,No,RB Left,Swing,0,1.73,0,
,15,JCU,30,,Pistol,Run,M,11,6,5,34,-3.5,,,,11.5,11.97,-3.5,,,,,,,,,No Catch,0,0.47,
,16,JCU,30,,Pistol,Sack,,12,8,5,,,,7.99,10.07,,,-8,,,,,,,,,No Catch,2.08,0,
X-First full set page 4,1,JCU,30,,Pistol,Run,M,11,7,5,34,2,,,,11.99,13.87,3.5,,,,,,,,,No Catch,0,1.88,
,2,JCU,30,,Pistol,Run,M,12,7,5,34,0,,,,19.72,21.95,1,,,,,,,,,No Catch,0,2.23,
,3,JCU,30,,Under,Sack,,11,6,5,,,,5.55,9.51,,,-7,,,,,,,,,No Catch,3.96,0,
,4,JCU,30,,Pistol,QB Scramble,,11,7,5,,,,,,,,5,,,,,,,,,No Catch,0,0,
X,13,JCU,30,,Pistol,Run,M,12,7,5,34,0,,,,12.73,13.85,3,,,,,,,,,No Catch,0,1.12,
,14,JCU,30,,Pistol,Run,L,11,6,5,34,1.5,,,,14.1,15.5,3,,,,,,,,,No Catch,0,1.4,
,15,JCU,30,,Pistol,Pass Attempt,L,11,6,5,,,,8.01,10.68,,,0,,Incomplete,UnderThrown,38,14,PA,Wide Left,Go,No Catch,2.67,0,
,16,JCU,30,,Under,Sack,,11,7,5,,,,6.35,7.49,,,-4,,,,,,,,,No Catch,1.14,0,
X-First Full 28,1,NEU,50,,Pistol,Run,M,11,7,5,34,-2,,,,8.48,9.12,-1,,,,,,,,,No Catch,0,0.64,
,2,OPP,45,,Pistol,QB Scramble,,11,7,5,,,,,,,,15,,,,,,,,,No Catch,0,0,
,3,OPP,30,,Pistol,Pass Attempt,R,11,8,5,,,,7.34,11.19,,,0,,Drop,OnTarg,22,14,PA,Wide Left,Post,No Catch,3.85,0,
,4,OPP,20,,Pistol,Run,M,11,6,5,34,10,,,,7.81,10.67,11,,,,,,,,,No Catch,0,2.86,
,5,OPP,10,,Pistol,QB Scramble,,11,6,5,,,,,,,,3,,,,,,,,,No Catch,0,0,
X,15,NEU,50,,Pistol,Pass Attempt,L,11,7,5,,,,12.14,13.71,,,0,,Incomplete,Errant,1.5,4,No,Slotback Left,Flat,No Catch,1.57,0,
,16,OPP,40,,Pistol,Pass Attempt,M,11,5,5,,,,15.46,17,,,0,,Incomplete,Errant,6,14,No,Slot Right,Slant,No Catch,1.54,0,
,17,OPP,30,,Pistol,Pass Attempt,M,11,5,5,,,,4.14,6.36,,,-1,,Catch,OnTarg,-4.5,34,No,Singleback,Screen,3.5,2.22,0,
,18,OPP,20,,Pistol,Sack,,11,6,5,,,,2.21,5.26,,,-10,,,,,,,,,No Catch,3.05,0,
,19,OPP,10,,Pistol,Run,R,11,6,5,34,2,,,,6,7.07,2,,,,,,,,,No Catch,0,1.07,
X-Last full 25,1,JCU,30,,Pistol,Pass Attempt,L,11,7,5,,,,10.17,11.18,,,10,,Catch,OnTarg,0,4,No,Slot Left,Bubble Screen,10,1.01,0,Great Screen &  Block by 6
,2,JCU,30,,Pistol,Run,R,11,6,5,34,5.5,,,,22.74,25.02,11,,,,,,,,,No Catch,0,2.28,
,3,JCU,30,,Under,Run,M,11,6,5,34,8,,,,12.58,14.85,8,,,,,,,,,No Catch,0,2.27,
,4,JCU,30,,Under,QB Scramble,,21,7,5,,,,,,,,7,,,,,,,,,No Catch,0,0,
X,13,JCU,30,,Under,Pass Attempt,R,11,7,5,,,,14.3,18.37,,,10,,Catch,OnTarg,3,34,PA,Singleback,Out Right,7,4.07,0,
,14,JCU,30,,Pistol,Sack,,11,8,5,,,,4.04,7.3,,,-9,,,,,,PA,,,No Catch,3.26,0,
,15,JCU,30,,Under,Run,R,11,7,5,34,5,,,,10.84,13.06,7,,,,,,,,,No Catch,0,2.22,
,16,JCU,30,,Pistol,Run,M,12,7,5,34,2,,,,4.29,5.59,3,,,,,,,,,No Catch,0,1.3,
X-Last 2 plays page 4,1,JCU,30,,Pistol,Run,R,12,7,5,34,-3,,,,8.65,10.67,-1.5,,,,,,,,,No Catch,0,2.02,
,2,JCU,30,,Pistol,Run,M,12,7,5,34,4,,,,9.02,10.87,6,,,,,,,,,No Catch,0,1.85,
401-500,3,JCU,30,,Pistol,QB Scramble,,21,7,5,,,,,,,,14,,,,,,PA,,,No Catch,0,0,
,4,JCU,30,,Pistol,Sack,,11,6,5,,,,7.4,8.39,,,-5,,,,,,No,,,No Catch,0.99,0,
,5,JCU,30,,Pistol,Sack,,11,6,5,,,,12.65,15.9,,,-5,,,,,,PA,,,No Catch,3.25,0,
,6,JCU,30,,Pistol,Run,M,11,7,5,34,2.5,,,,7.95,9.74,5,,,,,,,,,No Catch,0,1.79,
,13,JCU,30,,Pistol,Run,M,11,7,5,34,3,,,,5.21,6.48,10,,,,,,,,,No Catch,0,1.27,
,14,JCU,30,,Pistol,Run,R,12,7,5,34,-3,,,,5.9,7.11,-1,,,,,,,,,No Catch,0,1.21,
,15,JCU,30,,Pistol,Run,M,11,7,5,34,2,,,,11.92,13.11,3.5,,,,,,,,,No Catch,0,1.19,
,16,JCU,30,,Pistol,QB Scramble,,11,7,5,,,,,,,,7,,,,,,PA,,,No Catch,0,0,
,17,JCU,30,,Pistol,Pass Attempt,M,11,6,5,,,,14.05,17.19,,,0,,Incomplete,TurnWorthy,15,14,PA,Wide Right,In,No Catch,3.14,0,
,18,JCU,30,,Pistol,Run,L,11,7,5,34,1,,,,4.14,5.19,3,,,,,,,,,No Catch,0,1.05,
First full 24,1,JCU,30,,Pistol,Run,M,12,7,5,34,14,,,,7.78,11.45,15,,,,,,,,,No Catch,0,3.67,
,2,JCU,45,,Pistol,Run,M,11,6,5,34,-1,,,,1.04,2.08,2,,,,,,,,,No Catch,0,1.04,
,3,OPP,45,,Pistol,Pass Attempt,L,11,7,5,,,,8.73,12.12,,,8,,Catch,OnTarg,4.5,14,No,Wide Right,Curl,3.5,3.39,0,
,4,OPP,35,,Pistol,QB Scramble,,11,6,5,,,,,,,,7,,,,,,,,,No Catch,0,0,
,5,OPP,25,,Pistol,Pass Attempt,L,11,7,5,,,,2.8,5.25,,,4,,Catch,OnTarg,-4,34,No,RB Left,Screen,8,2.45,0,
,6,OPP,15,,Pistol,Pass Attempt,R,11,6,5,,,,8.78,11.27,,,15,TD,Catch,OnTarg,15,82,No,Slot Right,Corner,0,2.49,0,
X,13,JCU,35,,Pistol,Run,R,11,6,5,34,2,,,,20.62,22.99,3,,,,,,,,,No Catch,0,2.37,
,14,JCU,45,,Pistol,Run,M,11,7,5,34,-1,,,,5.17,5.82,0,,,,,,,,,No Catch,0,0.65,
,15,OPP,45,,Pistol,Pass Attempt,R,11,8,5,,,,9.17,12.28,,,0,,Incomplete,Errant,32,4,PA,Slot Left,Over,No Catch,3.11,0,
,16,OPP,35,,Pistol,Pass Attempt,M,11,7,5,,,,5.2,8.32,,,4,,Catch,OnTarg,1.5,34,PA,RB Left,Checkdown,2.5,3.12,0,
,17,OPP,25,,Pistol,Pass Attempt,L,11,6,5,,,,11.45,12.86,,,3,,Catch,OnTarg,3,4,No,Slot Left,Out,0,1.41,0,
,18,OPP,15,,Pistol,Pass Attempt,M,11,7,5,,,,4.31,7.6,,,9,,Catch,OnTarg,9,82,No,Wing Left,Curl,0,3.29,0,
Set of 10,1,JCU,30,,Pistol,Pass Attempt,M,11,6,5,,,,6.2,9.54,,,4,,Catch,OnTarg,3,14,PA,Wide Left,Drag,1,3.34,0,
,2,JCU,30,,Pistol,Sack,,11,7,5,,,,6.64,8.7,,,-10,,,,,,,,,No Catch,2.06,0,
